id,brand,category,gender,target_audience,price
33597,Napisan,Gezond & verzorging,Unisex,Volwassenen,2.99
20162,Nivea,Gezond & verzorging,Vrouw,Vrouwen,1.99
29776,Oral-B,Gezond & verzorging,Vrouw,Volwassenen,1.79
9164,Palmolive,Gezond & verzorging,Vrouw,Vrouwen,1.49
5893,Palmolive,Gezond & verzorging,Vrouw,Vrouwen,1.79
30825,At Home,Huishouden,Gezin,Volwassenen,1.99
23963,Axe,Gezond & verzorging,Man,Mannen,2.29
1666,Axe,Gezond & verzorging,Man,Mannen,2.29
29389,Axe,Gezond & verzorging,Man,Mannen,2.29
28252,Colgate,Gezond & verzorging,Unisex,Volwassenen,1.29
28431,Gillette,Gezond & verzorging,Vrouw,Vrouwen,7.49
20779,Dove,Gezond & verzorging,Vrouw,Vrouwen,1.79
5732,Fa,Gezond & verzorging,Vrouw,Vrouwen,1.29
4848,Gillette,Gezond & verzorging,Vrouw,Vrouwen,7.98
8185,Schwarzkopf,Gezond & verzorging,Vrouw,Vrouwen,1.99
26018,Herbal,Gezond & verzorging,Vrouw,Vrouwen,2.29
27384,Schwarzkopf,Gezond & verzorging,Vrouw,Vrouwen,1.99
1693,L Oreal,Gezond & verzorging,Vrouw,Vrouwen,7.99
1714,Neutral,Huishouden,Gezin,Volwassenen,5.49
17186,Nivea,Gezond & verzorging,Man,Mannen,1.99
29964,Nivea,Gezond & verzorging,Man,Mannen,2.49
32897,Nivea,Gezond & verzorging,Vrouw,Vrouwen,2.29
24799,Nivea,Gezond & verzorging,Vrouw,Vrouwen,1.99
23497,Nivea,Gezond & verzorging,Vrouw,Vrouwen,1.99
22161,Nivea,Gezond & verzorging,Vrouw,Vrouwen,1.99
9395,Nivea,Gezond & verzorging,Vrouw,Vrouwen,1.99
20025,Nivea,Gezond & verzorging,Unisex,Volwassenen,3.99
17013,Nivea,Gezond & verzorging,Vrouw,Vrouwen,2.99
29738,Nivea,Gezond & verzorging,Unisex,Volwassenen,5.99
3062,Palmolive,Gezond & verzorging,Vrouw,Vrouwen,1.49
2261,Palmolive,Gezond & verzorging,Senior,Volwassenen,1.49
29122,Blue Wonder,Huishouden,Unisex,Volwassenen,0.99
26157,Bright,Gezond & verzorging,Unisex,Volwassenen,2.49
9426,Byphasse,Gezond & verzorging,Vrouw,Vrouwen,1.79
26521,Bodysecret,Gezond & verzorging,Unisex,Volwassenen,0.99
1553,Denim,Gezond & verzorging,Man,Mannen,1.49
3846,Dove,Gezond & verzorging,Vrouw,Vrouwen,1.99
5879,Diadermine,Gezond & verzorging,Vrouw,Vrouwen,2.99
1882,Dove,Gezond & verzorging,Vrouw,Vrouwen,1.99
1314,Dove,Gezond & verzorging,Vrouw,Vrouwen,2.49
26544,Dove,Gezond & verzorging,Vrouw,Vrouwen,0.99
3357,Fa,Gezond & verzorging,Vrouw,Vrouwen,1.49
16763,L Oreal,Gezond & verzorging,Man,Mannen,2.99
32891,Gillette,Gezond & verzorging,Man,Mannen,3.99
5570,Fa,Gezond & verzorging,Vrouw,Vrouwen,1.49
2177,Schwarzkopf,Gezond & verzorging,Vrouw,Vrouwen,5.99
8378,Goldline,Gezond & verzorging,Unisex,Volwassenen,2.29
29454,Kinder,Eten & drinken,Kinderen,Kinderen,1.0
24367,Libresse,Gezond & verzorging,Vrouw,Vrouwen,1.49
27445,Lip Smacker,Gezond & verzorging,Vrouw,Vrouwen,2.29
24402,Loda,Huishouden,Unisex,Volwassenen,0.99
29474,Nivea,Gezond & verzorging,Vrouw,Vrouwen,3.99
24747,Montagne Jeunesse,Gezond & verzorging,Vrouw,Vrouwen,1.79
17258,Nivea,Gezond & verzorging,Vrouw,Vrouwen,1.99
25909,Nivea,Gezond & verzorging,Man,Mannen,1.99
4365,Nivea,Gezond & verzorging,Man,Mannen,1.99
22221,Nivea,Gezond & verzorging,Man,Mannen,2.59
24804,Nivea,Gezond & verzorging,Man,Mannen,1.99
26226,Nivea,Gezond & verzorging,Man,Mannen,1.99
20062,Nivea,Gezond & verzorging,Vrouw,Vrouwen,2.99
29772,Nivea,Gezond & verzorging,Gezin,Volwassenen,5.99
30982,Oral-B,Gezond & verzorging,Unisex,Volwassenen,34.98
32511,Oral-B,Gezond & verzorging,Unisex,Volwassenen,2.49
30628,At Home,Huishouden,Gezin,Volwassenen,1.49
24728,At Home,Huishouden,Unisex,Volwassenen,1.29
26185,At Home,Huishouden,B2B,Kantoor,1.29
21337,Brut,Gezond & verzorging,Man,Mannen,1.99
27729,Axe,Gezond & verzorging,Man,Mannen,2.29
27491,Bolsius,Wonen & vrije tijd,Unisex,Volwassenen,0.99
4754,Byphasse,Make-up & geuren,Vrouw,Vrouwen,1.49
8957,Clean,Huishouden,Gezin,Volwassenen,0.99
31281,Dasty,Huishouden,Unisex,Volwassenen,2.29
30809,Dreft,Huishouden,Gezin,Volwassenen,1.79
20846,L Oreal,Gezond & verzorging,Vrouw,Vrouwen,2.49
16052,Fa,Gezond & verzorging,Vrouw,Vrouwen,1.49
16761,L Oreal,Gezond & verzorging,Vrouw,Vrouwen,2.99
33539,Fa,Gezond & verzorging,Vrouw,Vrouwen,1.49
26282,Fa,Gezond & verzorging,Man,Mannen,1.49
9285,Fa,Gezond & verzorging,Vrouw,Vrouwen,1.49
5274,Farouk,Gezond & verzorging,Vrouw,Vrouwen,12.95
32540,Herbal Essences,Gezond & verzorging,Vrouw,Vrouwen,0.99
8515,Schwarzkopf,Gezond & verzorging,Vrouw,Vrouwen,2.49
1822,Nicols,Huishouden,Unisex,Volwassenen,0.99
20380,Listerine,Gezond & verzorging,Unisex,Volwassenen,2.49
20634,Nivea,Gezond & verzorging,Vrouw,Vrouwen,2.99
3875,Nivea,Gezond & verzorging,Man,Mannen,1.99
30841,Nivea,Gezond & verzorging,Kinderen,Kinderen,5.99
26129,Oral-B,Gezond & verzorging,Unisex,Volwassenen,1.39
31673,At Home,Huishouden,B2B,Kantoor,0.99
20173,Palmolive,Gezond & verzorging,Vrouw,Vrouwen,1.49
28347,Axe,Gezond & verzorging,Man,Mannen,2.29
7068,Axe,Gezond & verzorging,Man,Mannen,2.29
5272,Axe,Gezond & verzorging,Man,Mannen,2.29
32902,Axe,Gezond & verzorging,Vrouw,Vrouwen,1.99
9209,Bio-Oil,Gezond & verzorging,Unisex,Volwassenen,8.98
21649,Byphasse,Make-up & geuren,Vrouw,Vrouwen,1.79
29116,Blue Wonder,Huishouden,Unisex,Volwassenen,0.99
20533,Dove,Gezond & verzorging,Vrouw,Vrouwen,1.99
29797,Denim,Gezond & verzorging,Man,Mannen,1.49
33630,L Oreal,Gezond & verzorging,Vrouw,Vrouwen,2.49
16574,L Oreal,Gezond & verzorging,Vrouw,Vrouwen,2.99
1307,Fa,Gezond & verzorging,Man,Mannen,1.49
22551,Glorix,Huishouden,Unisex,Volwassenen,1.49
31816,KFS-B-Candles,Wonen & vrije tijd,Unisex,Volwassenen,1.49
20011,Nivea,Gezond & verzorging,Vrouw,Vrouwen,1.99
8502,Schwarzkopf,Gezond & verzorging,Vrouw,Vrouwen,2.49
3627,Palmolive,Gezond & verzorging,Vrouw,Vrouwen,1.99
4364,Nivea,Gezond & verzorging,Man,Mannen,1.99
29763,Nivea,Gezond & verzorging,Unisex,Volwassenen,5.99
24729,At Home,Huishouden,Unisex,Volwassenen,1.29
32481,Pampers,Baby & kind,Gezin,Baby's,5.52
23530,At Home,Huishouden,B2B,Kantoor,1.29
7131,Axe,Gezond & verzorging,Man,Mannen,1.99
30033,At Home,Huishouden,B2B,Kantoor,1.49
8093,Bel Cosmetic,Gezond & verzorging,Unisex,Volwassenen,1.49
26522,Bodysecret,Gezond & verzorging,Vrouw,Volwassenen,0.99
3555,Brylcreem,Gezond & verzorging,Vrouw,Mannen,3.49
30897,BodyX,Gezond & verzorging,Man,Mannen,1.29
29065,Byphasse,Gezond & verzorging,Vrouw,Vrouwen,1.79
31257,Dasty,Huishouden,Unisex,Volwassenen,2.29
33417,Doctor Clean,Huishouden,Unisex,Volwassenen,3.99
1319,Dove,Gezond & verzorging,Vrouw,Vrouwen,1.99
20515,L Oreal,Gezond & verzorging,Vrouw,Vrouwen,6.99
7684,Dove,Gezond & verzorging,Vrouw,Vrouwen,2.49
16768,L Oreal,Gezond & verzorging,Vrouw,Vrouwen,2.99
25260,Fa,Gezond & verzorging,Vrouw,Vrouwen,1.49
33217,Fa,Gezond & verzorging,Vrouw,Vrouwen,1.49
4679,Gillette,Gezond & verzorging,Vrouw,Vrouwen,10.98
32565,Schwarzkopf,Gezond & verzorging,Vrouw,Vrouwen,0.99
27385,Schwarzkopf,Gezond & verzorging,Vrouw,Vrouwen,2.29
1508,Glycerona,Gezond & verzorging,Unisex,Volwassenen,1.49
26333,Hansaplast,Gezond & verzorging,Kinderen,Kinderen,1.99
16831,Promo,Huishouden,Gezin,Volwassenen,0.99
32536,Herbal Essences,Gezond & verzorging,Vrouw,Vrouwen,1.49
32532,Herbal,Gezond & verzorging,Vrouw,Vrouwen,1.49
16066,Schwarzkopf,Gezond & verzorging,Vrouw,Vrouwen,3.59
16064,Schwarzkopf,Gezond & verzorging,,Mannen,3.39
30496,King,Eten & drinken,Unisex,Volwassenen,1.29
31331,Lenor,Huishouden,Gezin,Volwassenen,1.99
20381,Listerine,Gezond & verzorging,Unisex,Volwassenen,2.49
22165,Libresse,Gezond & verzorging,Vrouw,Vrouwen,1.49
1689,L Oreal,Gezond & verzorging,Vrouw,Vrouwen,7.99
1685,L Oreal,Gezond & verzorging,Vrouw,Vrouwen,7.99
21693,Nivea,Gezond & verzorging,Vrouw,Vrouwen,1.99
32886,Nivea,Gezond & verzorging,Vrouw,Vrouwen,1.79
3897,Nivea,Gezond & verzorging,Vrouw,Vrouwen,2.29
23731,Nivea,Gezond & verzorging,Man,Mannen,2.29
21718,Nivea,Gezond & verzorging,Vrouw,Vrouwen,2.29
23730,Nivea,Gezond & verzorging,Vrouw,Vrouwen,2.29
20063,Nivea,Gezond & verzorging,Vrouw,Vrouwen,2.99
20065,Nivea,Gezond & verzorging,Vrouw,Vrouwen,2.99
33238,Ooops,Huishouden,Kinderen,Kinderen,1.49
33476,Nivea,Gezond & verzorging,Unisex,Volwassenen,5.99
27730,Axe,Gezond & verzorging,Man,Mannen,2.29
8094,Bel Cosmetic,Make-up & geuren,Vrouw,Vrouwen,1.39
27877,Axe,Gezond & verzorging,Man,Mannen,0.99
31230,Colgate,Gezond & verzorging,Kinderen,Kinderen,0.99
21305,Brise,Huishouden,Unisex,Volwassenen,2.99
32950,Colgate,Gezond & verzorging,Unisex,Volwassenen,1.29
1551,Denim,Gezond & verzorging,Man,Mannen,1.49
8544,Dove,Gezond & verzorging,Vrouw,Vrouwen,1.49
25960,Dreft,Huishouden,Gezin,Volwassenen,1.99
16435,L Oreal,Gezond & verzorging,Vrouw,Vrouwen,2.99
26429,Fa,Gezond & verzorging,Vrouw,Vrouwen,2.49
33218,Fa,Gezond & verzorging,Vrouw,Vrouwen,1.49
26270,Fa,Gezond & verzorging,Vrouw,Vrouwen,1.49
1475,Gillette,Gezond & verzorging,Man,Mannen,11.98
33237,Glade,Huishouden,Gezin,Kantoor,1.29
8184,Schwarzkopf,Gezond & verzorging,Vrouw,Vrouwen,1.99
5392,Goldline,Gezond & verzorging,Unisex,Volwassenen,2.29
16550,Johnsons,Baby & kind,Baby,Baby's,1.79
16397,Kneipp,Gezond & verzorging,Unisex,Volwassenen,7.99
8507,Schwarzkopf,Gezond & verzorging,Vrouw,Meisje,2.49
1683,L Oreal,Gezond & verzorging,Vrouw,Vrouwen,7.99
22310,Libresse,Gezond & verzorging,Vrouw,Vrouwen,1.49
9091,Montagne Jeunesse,Gezond & verzorging,Vrouw,Vrouwen,1.79
32559,Minions,Gezond & verzorging,Kinderen,Kinderen,2.49
7188,Nivea,Gezond & verzorging,Man,Mannen,1.99
3688,Nivea,Gezond & verzorging,Unisex,Volwassenen,0.99
33608,Nivea,Gezond & verzorging,Vrouw,Vrouwen,0.99
32032,Op is Op,Huishouden,Gezin,Volwassenen,1.79
2262,Palmolive,Gezond & verzorging,Vrouw,Vrouwen,1.49
23287,At Home,Wonen & vrije tijd,Unisex,Volwassenen,1.29
23529,At Home,Huishouden,Unisex,Volwassenen,1.49
4078,Axe,Gezond & verzorging,Man,Mannen,2.99
33190,Axe,Gezond & verzorging,Man,Mannen,1.79
1949,Axe,Gezond & verzorging,Man,Mannen,2.29
27098,Bref,Huishouden,B2B,Kantoor,1.49
4753,Byphasse,Gezond & verzorging,Vrouw,Vrouwen,1.79
27615,Byphasse,Gezond & verzorging,Vrouw,Vrouwen,1.79
32308,Cif,Huishouden,Vrouw,Volwassenen,2.29
28292,Colgate,Gezond & verzorging,Unisex,Volwassenen,1.79
33268,Dash,Huishouden,Gezin,Volwassenen,19.98
33083,Dettol,Huishouden,Gezin,Volwassenen,2.49
28547,Dove,Gezond & verzorging,Vrouw,Vrouwen,1.99
9553,Dove,Gezond & verzorging,Vrouw,Vrouwen,1.99
1313,Dove,Gezond & verzorging,Vrouw,Vrouwen,1.99
22070,Dove,Gezond & verzorging,Unisex,Volwassenen,0.99
30784,Dreft,Huishouden,B2B,Kantoor,1.79
24439,Durex,Gezond & verzorging,Unisex,Volwassenen,5.99
27963,Dumil,Huishouden,Unisex,Volwassenen,1.49
20462,L Oreal,Gezond & verzorging,Vrouw,Vrouwen,2.99
6509,Fa,Gezond & verzorging,Vrouw,Vrouwen,1.29
1956,Fa,Gezond & verzorging,Man,Mannen,1.49
16059,Fa,Gezond & verzorging,Vrouw,Vrouwen,1.49
2365,Fa,Gezond & verzorging,Man,Mannen,1.49
5533,Fa,Gezond & verzorging,Vrouw,Vrouwen,1.49
6993,Schwarzkopf,Gezond & verzorging,Vrouw,Volwassenen,3.99
